displayName,status,createdOn,tokens,avg_recall_per_ddr,avg_precision_per_ddr,avg_f1_per_ddr,boulders precision,boulders recall,boulders f1,dheqfailure precision,dheqfailure recall,dheqfailure f1,dircontrol precision,dircontrol recall,dircontrol f1,harddrilling precision,harddrilling recall,harddrilling f1,highrop precision,highrop recall,highrop f1,holecleaning precision,holecleaning recall,holecleaning f1,lostcirculation precision,lostcirculation recall,lostcirculation f1,lowrop precision,lowrop recall,lowrop f1,packoff precision,packoff recall,packoff f1,shallowgas precision,shallowgas recall,shallowgas f1,shallowwater precision,shallowwater recall,shallowwater f1,stuckpipe precision,stuckpipe recall,stuckpipe f1,surfeqfailure precision,surfeqfailure recall,surfeqfailure f1,tighthole precision,tighthole recall,tighthole f1,wait precision,wait recall,wait f1,wellborebreathing precision,wellborebreathing recall,wellborebreathing f1,wellborestability precision,wellborestability recall,wellborestability f1,wellcontrol precision,wellcontrol recall,wellcontrol f1,avg_recall_per_tag,avg_precision_per_tag,avg_f1_per_tag
"eval_run_20241210141056","Completed","2024-12-10T14:27:27.7160166+00:00","0","0.75","0.637","0.666","0","1","0","0.056","0.25","0.091","0","1","0","0.071","1","0.133","0","1","0","0.047","1","0.089","0.417","1","0.588","0.444","0.4","0.421","0.129","1","0.229","0","1","0","1","1","1","0.143","1","0.25","0.703","0.929","0.8","0.522","0.923","0.667","0.629","0.936","0.752","0.333","0.667","0.444","0.103","1","0.188","0.156","0.714","0.256","0.879","0.264","0.328"
"eval_run_20241210141056_mod_prompt","Completed","2024-12-11T09:02:08.1954217+00:00","0","0.764","0.701","0.719","0","1","0","0.077","0.25","0.118","0","1","0","0.111","1","0.2","0","1","0","0.095","1","0.174","0.536","1","0.698","0.5","0.5","0.5","0.8","1","0.889","0","1","0","1","1","1","0.2","1","0.333","0.69","0.714","0.702","0.75","0.692","0.72","0.7","0.894","0.785","1","0","0","0.25","1","0.4","0.278","0.714","0.4","0.82","0.388","0.384"
